16:04:09–16:04:11  Say "怎么记录一会儿就要自己听？"
17:43:53–17:44:01  I browse the WeChat chat list.
17:44:01–17:44:08  I type a WeChat message.
17:44:08–17:44:11  I read the WeChat chat thread.
17:44:11–17:44:14  I browse the message list.
17:44:15–17:44:25  I read the '通告 Notice' announcement.
17:44:26–17:44:40  I browse a news feed.
17:44:41–17:44:47  I read the headline '癌症之王治疗重大突破，全体掌声起立！可惜并非国产……'.
17:44:47–17:44:49  I notice a '电池电量不足' alert.
17:44:49–17:44:51  I open the article '癌症之王治疗重大突破，全体掌声起立！可惜并非国产……'.
17:44:51–17:44:54  I read the article title '癌症之王治疗重大突破，全体掌声起立！可惜并非国产……'.
17:44:54–17:44:57  I view an embedded video player.
17:44:57–17:45:10  I inspect the Daraxonrasib survival curve.
17:45:11–17:45:15  I read an article about Daraxonrasib.
17:45:15–17:45:23  I read about the '分子胶水' mechanism.
17:45:23–17:45:40  I read the smartphone article.
17:45:41–17:45:45  I read a medical post about KRAS colorectal cancer.
17:45:46–17:45:51  I read colorectal cancer notes.
17:45:52–17:45:58  I scan the medical diagram preview.
17:45:59–17:46:10  I review the medical post footer.
17:46:11–17:46:26  I read KRAS gene notes.
17:46:27–17:46:40  I read trial results.
17:46:41–17:46:50  I read an article about clinical trial survival data.
17:46:51–17:47:02  I view data charts on my phone.
17:47:03–17:47:07  I read the 'One More Thing' section.
17:47:08–17:47:11  The peer says '食堂。'.
16:55:39–16:55:40  Sit beside companion in empty lecture room.
16:55:40–16:55:41  Say '为啥这几天变饿了呀我' to companion.
16:55:41–16:55:42  Listen to companion.
16:55:42–16:55:43  Companion replies '因为跟我待时间太久了'.
16:55:43–16:55:47  Sit beside companion in lecture hall.
16:55:47–16:55:48  Look at Gorilla experiment setup on companion's laptop screen.
16:55:48–16:55:48  Companion says '承认吧，男人'.
16:55:48–16:55:50  Look at Gorilla experiment setup interface.
16:55:50–16:55:51  Companion says '感染'.
16:55:51–16:55:53  Watch companion type on laptop.
17:47:41–17:47:45  I view WeChat messages.
17:47:45–17:47:48  I look at my friend.
17:47:48–17:47:50  I set down my phone.
17:47:50–17:47:54  My friend asks '吃什么？'.
17:47:54–17:47:58  I say '都可以'.
17:47:58–17:48:07  I watch my friend.
17:48:07–17:48:10  My friend says 'Go。I'm hungry to die。'.
17:48:11–17:48:13  I stand up.
17:48:14–17:48:20  I say '别等了，快饿死了！别等了，别等了，别等了，回来再弄吧。哎呀！'.
17:48:21–17:48:30  I walk to the door.
17:48:31–17:48:33  I open the door.
17:48:34–17:48:40  I say '不走啊！'.
17:48:41–17:48:44  I say "回来，你还能接着弄。" to the person.
17:48:45–17:48:47  I look around the classroom.
17:48:48–17:48:50  I exit into the corridor.
17:48:51–17:48:55  I walk along the corridor.
17:48:56–17:48:58  I reach for door G5-314 handle.
17:48:59–17:49:01  I open door G5-314.
17:49:02–17:49:05  I turn back toward the doorway.
17:49:06–17:49:08  I massage my left hand.
17:49:09–17:49:10  I look toward the courtyard.
17:49:11–17:49:13  I say '上厕所。'.
17:49:14–17:49:17  I fidget with my hands.
17:49:18–17:49:21  I walk toward the hallway intersection.
17:49:22–17:49:24  I glance at the lounge area.
17:49:25–17:49:27  I look at the hallway directory signs.
17:49:28–17:49:35  I walk past approaching pedestrians.
17:49:36–17:49:38  I look at the Female Toilet door.
17:49:39–17:49:40  I turn the corner.
17:49:41–17:49:43  I look at the lounge area.
17:49:43–17:49:46  I walk past a potted plant.
17:49:46–17:49:49  I say '会化成天空。'
17:49:49–17:49:53  I turn right toward the restroom.
17:49:53–17:49:58  I walk down the windowed corridor.
16:57:24–16:57:27  Review handwritten notes on notebook.
16:57:27–16:57:31  Hold pen over notebook.
16:57:31–16:57:34  Ask '怎么回事？'.
16:57:34–16:57:38  Read lecture slide bullet points comparing autoregressive flow mappings to likelihood computation and sampling.
