22:46:25–22:46:30  I say '我要打视频会议骚扰。'
23:57:57–23:58:00  I watch episode 17 of '日薪一万，我在博物馆值夜班'.
23:58:01–23:58:02  I select episode 19 of '日薪一万，我在博物馆值夜班'.
23:58:03–23:58:05  I watch episode 19 of '日薪一万，我在博物馆值夜班'.
23:58:06–23:58:08  I select episode 22 of '日薪一万，我在博物馆值夜班'.
23:58:09–23:58:13  I watch episode 22 of '日薪一万，我在博物馆值夜班'.
23:58:14–23:58:16  I select episode 21 of '日薪一万，我在博物馆值夜班'.
23:58:17–23:58:20  I watch episode 21 of '日薪一万，我在博物馆值夜班'.
23:58:21–23:58:24  I watch the dialogue scene in episode 21 of '日薪一万，我在博物馆值夜班'.
23:58:25–23:58:26  I watch the short drama.
23:58:27–23:58:32  I fast-forward the drama at 2.0x speed.
23:58:33–23:58:40  I watch the drama at 2.0x speed.
23:58:41–23:58:48  I watch the drama at 2.0x speed.
23:58:49–23:58:54  I watch the search scene at 2.0x speed.
23:58:55–23:59:04  I fast-forward the short drama.
23:59:04–23:59:10  I watch the drama fast-forward.
23:59:10–23:59:15  I watch the drama fast-forward.
23:59:15–23:59:20  I watch the drama fast-forward.
23:59:20–23:59:22  I watch the drama fast-forward.
23:59:22–23:59:25  I release fast-forward.
23:59:25–23:59:26  I view the drama interface on my tablet.
23:59:26–23:59:31  I fast-forward the drama at 2.0x speed.
23:59:32–23:59:33  I watch the cutaway shot of an empty glass.
23:59:34–23:59:37  I watch Qiu Ge warning Wang Pangzi.
23:59:38–23:59:48  I watch Wang Pangzi discussing the Eight-Armed Asura photo.
23:59:49–23:59:54  I watch the supernatural beast mask image on the phone.
23:59:55–23:59:57  I watch the bronze mask video.
23:59:58–00:00:02  I watch the drama dialogue.
00:00:03–00:00:08  I watch the video about the bronze head.
00:00:09–00:00:13  I watch the characters discussing the museum.
00:00:14–00:00:18  I watch the explanation about Zhen Ling Shi.
00:00:19–00:00:24  I watch the explanation of the secret department.
00:00:25–00:00:33  I watch the video about 镇灵司 recruiting talents.
00:00:34–00:00:41  I watch the video discussion about entering the 镇灵司.
00:00:42–00:00:45  I watch the video character express desire to join 镇灵司.
00:00:46–00:00:50  I watch the video character describe the 镇灵司 experts.
00:00:51–00:00:55  I watch the video explain the 镇灵司 entry requirements.
00:00:55–00:00:58  I watch a video on Zhenlingsi recruitment.
00:00:58–00:01:06  I watch a character activate a glowing supernatural gauntlet.
00:01:06–00:01:13  I watch the glowing gauntlet demonstration.
00:01:13–00:01:18  I watch the Zhenlingsi examination grounds scene.
00:01:18–00:01:22  I watch a giant floating bronze bell in the video.
00:01:22–00:01:25  I watch candidates observe the levitating bell.
00:01:25–00:01:28  I watch the drama video at 2.0x speed.
00:01:28–00:01:31  I watch the examiner arrive.
00:01:31–00:01:37  I watch Bai Jie announce the recruitment rules.
00:01:37–00:01:41  I watch the video reveal the suspended bell.
00:01:41–00:01:46  I watch the candidate crowd panic.
00:01:46–00:01:50  I watch the examiner explain the seal release.
00:01:50–00:01:55  I watch the trial criteria explanation.
00:01:55–00:01:58  I watch the drama explanation of B-grade certification.
00:01:59–00:02:04  I watch the video discussion on Bai Jie's A-grade rank.
00:02:05–00:02:08  I watch the video dialogue mocking rookie candidates.
00:02:09–00:02:18  I watch the protagonist's inner monologue on assessment ranks.
00:02:19–00:02:24  I watch the descent of the giant bronze assessment bell.
00:02:25–00:02:28  I fast-forward a Bilibili video on my iPad.
00:02:28–00:02:35  I watch a collapsed character in the video.
00:02:36–00:02:45  I watch the protagonist pass the test in the video.
00:02:46–00:02:51  I watch the examiners discuss the test in the video.
00:02:52–00:02:54  I watch the chained bell descend in the video.
00:02:55–00:03:00  I watch an action scene on my tablet.
00:03:01–00:03:05  I watch the character collapsing in the video.
00:03:06–00:03:10  I watch shadow creatures on the tablet.
00:03:11–00:03:14  I watch the character clench his fist on the tablet.
00:03:15–00:03:20  I watch the difficulty level change scene on the tablet.
00:03:21–00:03:24  I watch the dialogue scene on the tablet.
00:03:25–00:03:31  I watch a video at 2.0x speed.
00:03:32–00:03:36  I watch the video at 2.0x speed.
00:03:37–00:03:41  I watch the video at 2.0x speed.
00:03:42–00:03:46  I watch the video at 2.0x speed.
00:03:47–00:03:52  I watch the video at 2.0x speed.
00:03:53–00:03:55  I watch the video at 2.0x speed.
00:03:55–00:04:03  I fast-forward a 3D animated fantasy video on the tablet.
00:04:04–00:04:06  I watch the video transition to a running fighter at 2.0x speed.
00:04:07–00:04:15  I watch the combat sequence and flaming arm armor at 2.0x speed.
00:04:16–00:04:20  I watch the fighter charge forward while fast-forwarding.
00:04:21–00:04:24  I read subtitles describing the rookie fighter's reaction.
00:04:25–00:04:28  I fast-forward a Bilibili anime battle.
00:04:29–00:04:34  I watch the character eye close-up with subtitle '滚回去'.
00:04:35–00:04:46  I watch the spectral avatar charge a punch.
00:04:47–00:04:50  I watch the titan punch the golden bell.
00:04:51–00:04:54  I watch the massive explosion mushroom cloud.
00:04:55–00:05:00  I watch the video sequence of energy effects and courtyard.
00:05:00–00:05:06  I maintain 2.0x playback while watching characters talking.
00:05:06–00:05:11  I watch the dialogue about defeating an A-rank entity.
00:05:11–00:05:16  I watch the courtyard assessment scene.
00:05:16–00:05:25  I watch the character in white hooded outfit at a desk.
00:05:25–00:05:33  I watch the Zhenling Bureau assessment video.
00:05:33–00:05:40  I watch the A-rank card presentation scene.
00:05:40–00:05:45  I watch the Museum No. 9 privilege explanation.
00:05:45–00:05:51  I watch the power origin warning scene.
00:05:51–00:05:55  I watch the supernatural law explanation.
00:05:55–00:06:00  I watch the drama video on iPad.
00:06:01–00:06:03  I watch the video disaster cutscenes.
00:06:04–00:06:09  I watch the video evaluation dialogue.
00:06:10–00:06:21  I watch the protagonist's inner monologue montage.
00:06:22–00:06:25  I watch the video conversation continue.
00:06:25–00:06:29  I watch the drama video at 2x speed.
00:06:29–00:06:35  I watch the conference room scene at 2x speed.
00:06:36–00:06:40  I watch the characters shake hands in the video.
00:06:41–00:06:46  I watch the command center alert scene.
00:06:47–00:06:54  I watch the creature footage in the video.
00:06:55–00:07:03  I watch the emergency command scene on my tablet at 2.0x speed.
00:07:04–00:07:09  I watch the team enter the underground waterway on my tablet.
00:07:10–00:07:18  I watch the dialogue about skipping training on my tablet.
00:07:19–00:07:25  I watch the teammate give combat warnings on my tablet.
00:07:25–00:07:29  I watch a video at 2.0x speed.
00:07:30–00:07:33  I watch the characters prepare for battle.
00:07:34–00:07:38  I watch a giant armored monster appear.
00:07:39–00:07:44  I watch the characters deploy an energy barrier.
00:07:45–00:07:49  I watch the woman in white step forward.
00:07:50–00:07:55  I watch the woman unleash energy ribbons.
00:07:55–00:08:02  I watch a drama action scene on my tablet.
00:08:03–00:08:10  I watch the battle confrontation on my tablet.
00:08:11–00:08:18  I watch the injured warrior scene on my tablet.
00:08:19–00:08:24  I watch the dual beast battle on my tablet.
00:08:25–00:08:30  I fast-forward an animated battle scene on Bilibili.
00:08:30–00:08:38  I watch the centipede creature battle in the tunnel.
00:08:38–00:08:42  I watch a wounded character in the video.
00:08:42–00:08:48  I watch the centipede re-emerge with subtitles.
00:08:48–00:08:55  I watch a glowing figure leap into the air.
00:08:55–00:09:00  I watch a fantasy video.
00:09:00–00:09:05  I watch the character smash an armored beast.
00:09:06–00:09:07  I watch a tunnel explosion.
00:09:08–00:09:14  I watch the character inspect a metallic centipede.
00:09:15–00:09:17  I read '铸器者：鲁百锻'.
00:09:18–00:09:21  I monitor the video scene.
00:09:22–00:09:24  I read the subtitle '那个镇守者青铜像'.
00:09:25–00:09:30  I watch the drama playback about 铸器者·鲁百锻.
00:09:31–00:09:35  I watch the dialogue with Team Leader Bai.
00:09:36–00:09:42  I watch the sealed talisman box being opened.
00:09:43–00:09:47  I inspect the bronze head artifact in the video.
00:09:48–00:09:55  I watch the discussion about Wang Pangzi's bronze head photo.
00:09:55–00:09:59  I watch a drama video.
00:10:00–00:10:04  I watch the artifact close-up.
00:10:05–00:10:09  I watch the chamber dialogue scene.
00:10:10–00:10:14  I watch the character background explanation.
00:10:15–00:10:19  I watch the artifact display scene.
00:10:20–00:10:24  I watch the classification explanation.
00:10:25–00:10:29  I watch the mini-drama on my tablet.
00:10:29–00:10:44  I fast-forward the video playback at 2.0x speed.
00:10:44–00:10:54  I continue fast-forwarding the drama video.
00:10:55–00:11:11  I fast-forward the drama.
00:11:12–00:11:15  I release the screen.
00:11:15–00:11:18  I lift my arms.
00:11:18–00:11:25  I watch the drama.
00:11:25–00:11:29  I watch '日薪一万，我在博物馆值夜班' on my tablet.
00:11:30–00:11:40  I watch the drama video.
00:11:41–00:11:48  I monitor the museum scene in the video.
00:11:49–00:11:54  I clasp my hands while watching the drama.
00:11:55–00:12:04  I watch Episode 47 of '日薪一万，我在博物馆值夜班'.
00:12:05–00:12:12  I watch Episode 48 showing the Jade Exhibition Area.
00:12:13–00:12:16  I read the third rule on the rulebook page.
00:12:17–00:12:21  I watch the protagonist examine the jade hairpin.
00:12:22–00:12:25  I watch the scene where the entity asks '你能看见我吗'.
00:12:25–00:12:35  I watch Episode 48 of 《日薪一万，我在博物馆值夜班》.
00:12:35–00:12:43  I watch Episode 49 of 《日薪一万，我在博物馆值夜班》.
00:12:44–00:12:49  I watch the museum drama scene.
00:12:50–00:12:54  I notice a WeChat notification while watching the drama.
00:12:55–00:13:04  I watch the drama 日薪一万，我在博物馆值夜班.
00:13:05–00:13:10  I watch the drama transition to episode 50.
00:13:11–00:13:24  I watch the dialogue scene between the man and Secretary Su.
00:13:25–00:13:29  I watch the drama video.
00:13:29–00:13:30  I watch the drama video.
00:13:31–00:13:33  I watch the drama video.
00:13:34–00:13:36  I watch the drama video.
00:13:37–00:13:39  I watch the drama video.
00:13:40–00:13:42  I watch the drama video.
00:13:43–00:13:46  I watch the drama video.
00:13:47–00:13:52  I watch the drama video.
00:13:53–00:13:54  I watch the drama video.
00:13:55–00:14:05  I watch the short drama 《日薪一万，我在博物馆值夜班》.
00:14:05–00:14:10  I watch the secretary walk away.
00:14:10–00:14:19  I watch the protagonist monologue.
00:14:19–00:14:24  I watch episode 52 start.
00:14:25–00:14:28  I watch the drama on my tablet.
00:14:29–00:14:35  I watch the redacted files in the drama.
00:14:36–00:14:43  I watch the conference room scene in the drama.
00:14:44–00:14:47  I watch the drama document close-up.
00:14:48–00:14:52  I watch the character close-up in the drama.
00:14:53–00:14:55  I watch Episode 53 start on the tablet.
00:14:55–00:15:00  I watch the drama on my tablet.
00:15:00–00:15:06  I watch the redacted dossier close-ups.
00:15:06–00:15:12  I watch the protagonist ponder the document.
00:15:12–00:15:17  I watch the museum statues and dossier.
00:15:17–00:15:22  I watch the conference room and statues.
00:15:22–00:15:25  I watch Episode 54 begin.
00:15:25–00:15:35  I watch the drama 日薪一万，我在博物馆值夜班.
00:15:35–00:15:46  I watch the mission briefing in the drama.
00:15:46–00:15:51  I watch the video transition between episodes.
00:15:52–00:15:55  I watch Episode 55 of the drama.
00:15:55–00:16:02  I watch the drama.
00:16:02–00:16:09  I watch the drama.
00:16:09–00:16:18  I watch the drama.
00:16:19–00:16:21  I watch the episode transition.
00:16:22–00:16:24  I watch the combat scene.
00:16:25–00:16:32  I watch the tablet video.
00:16:33–00:16:38  I watch characters inspect carved runes.
00:16:39–00:16:42  I read '同出一源' on tablet.
00:16:43–00:16:48  I watch characters approach a pedestal.
00:16:49–00:16:54  I watch the pedestal reveal.
00:16:55–00:17:02  I watch the drama on my tablet.
00:17:03–00:17:09  I watch the drama scene transition.
00:17:10–00:17:15  I watch the protagonist examine an artifact.
00:17:16–00:17:21  I watch the characters negotiate borrowing the relics.
00:17:22–00:17:24  I watch the team captain grant permission.
23:31:55–23:31:56  I watch a drama video while hearing the MTR announcement.
23:31:57–23:31:59  I watch the video showing a bronze vessel and an artifact restorer.
23:32:00–23:32:04  I watch the video showing a character examining and wiping a broken bronze mirror (铜镜).
23:32:05–23:32:07  I say 'Sorry.' to my companion.
23:32:08–23:32:09  I say 'Sorry.' again.
00:17:55–00:17:57  I pick up a chicken nugget.
00:17:57–00:18:02  I dip the chicken nugget.
00:18:02–00:18:05  I eat the chicken nugget.
00:18:05–00:18:07  I tap the iPad to play episode 58.
00:18:07–00:18:11  I watch episode 58 of '日薪一万，我在博物馆值夜班'.
00:18:11–00:18:15  I dip another nugget.
00:18:15–00:18:21  I watch the drama on the iPad.
00:18:21–00:18:25  I watch the relic restoration scene on the iPad.
00:18:25–00:18:31  I watch the mini-drama museum scene.
00:18:31–00:18:36  I watch the mini-drama protagonist monologue.
00:18:36–00:18:38  I watch the drama episode transition screen.
00:18:38–00:18:46  I watch the mini-drama misty street tracking scene.
00:18:46–00:18:55  I watch the mini-drama tracking monologue.
00:18:55–00:18:58  I watch the drama '我在博物馆值夜班'.
00:18:59–00:19:05  I pick up a fries container.
00:19:06–00:19:09  I pour french fries into the nugget box.
00:19:10–00:19:14  I place the empty fries container down.
00:19:15–00:19:18  I grab french fries from the box.
00:19:19–00:19:24  I watch the drama on the iPad.
00:19:25–00:19:35  I watch the drama '我在博物馆值夜班'.
00:19:35–00:19:42  I watch the museum relic displays in the video.
00:19:42–00:19:45  I watch the video switch to Episode 60.
00:19:45–00:19:50  I watch the dialogue confronting the statue guardian.
00:19:50–00:19:54  I watch the explanation of the collapsed statue.
00:19:55–00:20:00  I watch '我在博物馆值夜班'.
00:20:00–00:20:03  I watch '丹青子' displayed on the tablet.
00:20:04–00:20:13  I watch character titles on the tablet.
00:20:14–00:20:16  I read craft categories on the tablet.
00:20:17–00:20:25  I watch explanation subtitles on the tablet.
00:20:25–00:20:31  I watch '我在博物馆值夜班'.
00:20:31–00:20:36  I watch the bronze artifact inscription in the video.
00:20:36–00:20:42  I read '加快修复！我们时间不多了！！！' in the video.
00:20:42–00:20:50  I watch the drama protagonist at his desk.
00:20:50–00:20:54  I pick up a chicken nugget.
00:20:55–00:21:01  I watch the drama on the tablet.
00:21:01–00:21:06  I watch the video scene shift.
00:21:06–00:21:13  I watch the drama questioning dialogue.
00:21:13–00:21:17  I watch the blood writing emerge on screen.
00:21:17–00:21:22  I watch the drama dialogue on the tablet.
00:21:22–00:21:25  I watch the blood message on screen.
00:21:25–00:21:30  I watch the drama on iPad.
00:21:30–00:21:36  I watch the protagonist examine the book.
00:21:37–00:21:40  I dip a chicken nugget into sauce.
00:21:40–00:21:45  I eat the nugget while watching iPad.
00:21:45–00:21:49  I watch the woman enter in the drama.
00:21:49–00:21:54  I watch the dialogue on iPad.
00:21:55–00:22:00  I watch the tablet drama about returning lost artifacts.
00:22:00–00:22:06  I watch the drama scene where Secretary Su asks about 'that person'.
00:22:06–00:22:12  I watch the flashback scene showing carved writing on the secret room wall.
00:22:12–00:22:18  I watch the drama dialogue about the 50-year imprisonment.
00:22:18–00:22:25  I watch Secretary Su tell Mr. Lin he could not have survived.
00:22:25–00:22:32  I watch the drama video.
00:22:33–00:22:40  I dip a chicken nugget.
00:22:41–00:22:50  I watch the drama dialogue.
00:22:51–00:22:54  I watch the ancient book scene.
00:22:55–00:23:00  I watch the drama dialogue about museum relics.
00:23:00–00:23:05  I watch the drama dialogue about gaining powers.
00:23:05–00:23:10  I watch the drama dialogue on Zhenling Si's iron rule.
00:23:10–00:23:15  I watch the drama explanation of sealing eerie entities.
00:23:15–00:23:19  I watch the drama explanation of relic repair as sealing.
00:23:19–00:23:25  I watch the drama reveal of power transferring to the restorer.
00:23:25–00:23:30  I watch the drama video about artifact power.
00:23:30–00:23:38  I watch the video scene about entity confinement.
00:23:38–00:23:45  I read the subtitles about power suppression.
00:23:45–00:23:50  I watch the woman explain the museum purpose.
00:23:50–00:23:54  I watch the museum jade exhibit zone introduction.
00:23:55–00:23:58  I watch a drama recap video on my tablet.
00:23:58–00:24:04  I watch the drama video explaining the museum's Taoist array structure.
00:24:04–00:24:10  I watch a golden magic formation activate in the video.
00:24:10–00:24:18  I watch a 3D architectural overview of the museum in the video.
00:24:18–00:24:25  I watch a CGI corridor flythrough in the video.
00:24:25–00:24:31  I watch the drama video.
00:24:31–00:24:36  I watch the video scene.
00:24:36–00:24:43  I watch the formation burning scene.
00:24:43–00:24:49  I read the video subtitles about the guardians.
00:24:49–00:24:55  I watch the dialogue scene.
00:24:55–00:25:01  I watch the drama about guardian powers exhausting.
00:25:01–00:25:07  I watch the drama dialogue demanding 10 relic repairs daily.
00:25:07–00:25:13  I watch the drama scene addressing Lin Xiu.
00:25:13–00:25:18  I watch the drama instruction to restore all museum relics.
00:25:18–00:25:25  I watch the drama conclusion about inheriting the 12 guardians' powers.
00:25:25–00:25:33  I watch '日薪一万，我在博物馆值夜班'.
00:25:34–00:25:38  I close the Chicken McNuggets box lid.
00:25:39–00:25:41  I tap the '< 第1集' back button.
00:25:42–00:25:43  I tap '下次再说' on the '是否添加到追剧？' modal.
00:25:44–00:25:46  I tap back to the search input page.
00:25:47–00:25:50  I tap the '漫剧' tab.
00:25:51–00:25:54  I browse the '《红果推荐榜》' ranking list.
00:25:55–00:25:59  I browse the 推荐榜 on the Red Fruit Drama floating window.
00:25:59–00:26:02  I tap the 热播榜 tab.
00:26:02–00:26:09  I browse the 热播榜 on the floating window.
00:26:09–00:26:14  I tap the 臻果榜 tab to view 高分臻果榜.
00:26:14–00:26:18  I tap the 新剧榜 tab.
00:26:18–00:26:21  I tap the 热搜榜 tab.
00:26:21–00:26:25  I switch between the 必看榜 and 收藏榜 tabs.
00:26:25–00:26:33  I browse the drama ranking modal.
00:26:34–00:26:37  I select '发配边关，罪妻开荒养出战神'.
00:26:38–00:26:49  I adjust the video window.
00:26:50–00:26:54  I watch the drama playback.
00:26:55–00:27:02  I watch the drama.
00:27:03–00:27:09  I watch the drama narration.
00:27:10–00:27:15  I watch the drama scene.
00:27:16–00:27:21  I watch the drama evaluation.
00:27:22–00:27:24  I watch the drama.
00:27:25–00:27:30  I watch the drama video.
00:27:30–00:27:36  I watch the drama promotion announcement.
00:27:36–00:27:42  I watch the drama dialogue with Xiao Zheng.
00:27:42–00:27:48  I watch Xiao Zheng's inner monologue.
00:27:48–00:27:55  I watch Su Lan get selected.
00:27:55–00:27:59  I watch micro-drama Episode 1.
00:27:59–00:28:04  I watch Episode 2 begin.
00:28:05–00:28:09  I watch soldiers select women.
00:28:10–00:28:14  I watch Xiao Zheng refuse a woman.
00:28:15–00:28:20  I watch Xiao Zheng explain his family burden.
00:28:21–00:28:25  I watch the female lead decide to act.
00:28:25–00:28:33  I watch a historical mini-drama.
00:28:33–00:28:36  I glance at the Chicken McNuggets box.
00:28:36–00:28:50  I watch the mini-drama.
00:28:51–00:28:53  I gesture with my right hand.
00:28:53–00:28:55  I look at the Chicken McNuggets box.
00:28:55–00:29:03  I watch Episode 2 of the drama.
00:29:04–00:29:19  I watch Episode 3 of the drama.
00:29:20–00:29:22  I glance toward the sauce container.
00:29:23–00:29:25  I watch the drama on the tablet.
00:29:25–00:29:30  I watch the drama on my tablet.
00:29:31–00:29:38  I watch the mother scolding her son in the video.
00:29:39–00:29:43  I watch the video explanation.
00:29:44–00:29:50  I watch the mother accept the woman inside.
00:29:51–00:29:54  I watch the siblings enter in the video.
00:29:55–00:30:04  I watch the AI historical drama on my tablet.
00:30:05–00:30:10  I watch the drama characters enter the cottage for lunch.
00:30:11–00:30:15  I stretch my right arm while watching the drama.
00:30:16–00:30:20  I glance down at the McNuggets box and tablet bottom.
00:30:21–00:30:25  I watch the male lead eat lunch in the drama.
00:30:25–00:30:28  I watch episode 3 of the costume drama.
00:30:29–00:30:36  I watch episode 4 of the drama.
00:30:37–00:30:43  I watch the family dining scene.
00:30:44–00:30:49  I watch the protagonist finishing her meal.
00:30:50–00:30:54  I watch the mother telling the siblings to clear the table.
00:30:55–00:31:22  I watch a drama episode on my tablet.
00:31:23–00:31:24  I reach toward the tablet screen.
00:31:25–00:31:27  I view the dipping sauce box.
00:31:28–00:31:35  I close the dipping sauce box.
00:31:36–00:31:38  I place the dipping sauce box inside the McNuggets box.
00:31:39–00:31:43  I unwrap the fried chicken.
00:31:44–00:31:49  I hold the fried chicken while watching the iPad.
00:31:50–00:31:54  I watch the drama episode on the iPad.
00:31:55–00:32:00  I inspect the fried chicken.
00:32:00–00:32:03  I wrap the chicken bone.
00:32:03–00:32:06  I place the wrapped chicken.
00:32:06–00:32:13  I watch the historical drama.
00:32:13–00:32:17  I pick up the chicken bone.
00:32:17–00:32:22  I monitor the drama playback.
00:32:22–00:32:25  I look at the dipping sauce and kettle.
00:32:25–00:32:28  I watch a video on my tablet.
00:32:28–00:32:32  I unwrap a piece of chicken.
00:32:32–00:32:45  I watch the video on my tablet.
00:32:45–00:32:51  I glance at the white kettle.
00:32:51–00:32:54  I watch the video on my tablet.
00:32:55–00:32:57  I watch a drama on my tablet while holding a bone.
00:32:58–00:33:01  I drop the chicken bone into the trash can.
00:33:02–00:33:05  I pack the yellow food box into the paper bag.
00:33:06–00:33:08  I put on black slippers.
00:33:09–00:33:11  I walk into the bathroom.
00:33:12–00:33:20  I rinse my hands under running tap water.
00:33:21–00:33:25  I pump hand soap and lather my hands.
00:33:25–00:33:34  I lather my hands.
00:33:35–00:33:49  I rinse my hands.
00:33:50–00:33:54  I rinse my palms.
00:33:55–00:33:57  I wash my hands.
00:33:57–00:33:59  I look at the disposable face towel pack.
23:47:40–23:47:52  Browse the comment section beneath a video.
23:47:52–23:47:55  Say '日薪一万我在博物馆值夜班'.
23:49:10–23:49:17  I browse product listings for '红果金币 稳定方法教程' and '嫂嫂卡券' offering '红果短剧 VIP'.
23:49:17–23:49:18  I say '哦，看下一个。'
23:49:18–23:49:21  I open Spotlight.
23:49:21–23:49:24  I type '红果短剧'.
23:49:24–23:49:25  I view Spotlight search results for '红果短剧'.
