19:00:37–19:00:40  Say '不会是录满了吧？'
20:23:20–20:23:29  I write 'p_{min}^* = -\frac{1}{m} \ln m'.
20:23:30–20:23:36  I write '= \frac{1}{m} \ln \frac{1}{m}'.
20:23:37–20:23:46  I write the derivation 'p^* = \frac{\ln m}{m}'.
20:23:46–20:23:55  I examine the derived formula 'p^* = \frac{\ln m}{m}'.
20:23:55–20:23:59  I examine the upper bound inequality.
20:23:59–20:24:04  I read Problem 2 and Problem 3 of MATH6502/7502 Homework Assignment 5.
20:24:04–20:24:06  I examine the mathematical calculations on paper.
20:24:07–20:24:11  I write out the expectation formula.
20:24:12–20:24:13  I read the assignment problem on the laptop.
20:24:14–20:24:26  I write the substituted bound formula.
20:24:27–20:24:31  I review the previous derivation lines.
20:24:32–20:24:36  I resume writing the inequality.
20:24:37–20:24:45  I review the optimal probability derivation.
20:24:45–20:24:49  I write '+ 1/m)'.
20:24:49–20:24:51  I check the homework assignment prompt.
20:24:51–20:25:00  I write '= 2^n · (ln m + 1)/m'.
20:25:00–20:25:04  I say '你说什么？是耳朵烂皮子了？'.
20:25:04–20:25:07  I examine the derivation.
20:25:07–20:25:10  Examine handwritten math notes
20:25:11–20:25:17  Read the homework assignment PDF
20:25:18–20:25:25  Look at the handwritten notes
20:25:26–20:25:37  Look across the laptop screen and surrounding desk area
20:25:37–20:25:40  I examine the handwritten expectation bound on my paper.
20:25:40–20:25:47  I review the probability optimization step.
20:25:47–20:25:51  I position the pen tip below the expectation bound.
20:25:51–20:25:57  I write 'm = 1 + n + n(n-1)/2'.
20:25:57–20:26:04  I write '+ n(n-1)(n-2)/6'.
20:26:04–20:26:05  I say '嗯。'
20:26:05–20:26:07  I inspect the completed formula for m.
20:26:07–20:26:11  I read MATH6502/7502 Homework Assignment 5.
20:26:12–20:26:29  I check handwritten math calculations.
20:26:30–20:26:33  I make an OK gesture.
20:26:34–20:26:37  I rest my arms on my lap.
20:26:37–20:26:45  I read the math assignment on my laptop.
20:26:46–20:26:51  I review my handwritten proof notes.
20:26:52–20:26:58  I read the problem on my laptop screen.
20:26:59–20:27:00  I say "嗯。"
20:27:01–20:27:06  I inspect the optimization formulas on my notepad.
20:27:07–20:27:14  I review the mathematical derivation on the paper.
20:27:15–20:27:17  I look down at my leg.
20:27:18–20:27:27  I verify the formula for m on the paper.
20:27:28–20:27:30  I say '嗯。'
20:27:31–20:27:36  I review the handwritten derivation.
20:27:37–20:27:50  Examine the handwritten probability formulas on the white paper
20:27:51–20:27:58  Turn towards roommate and rolling cart
20:27:59–20:28:06  Write math on the paper
20:28:07–20:28:09  I read the homework PDF on my laptop.
20:28:09–20:28:28  I write math asymptotics on the paper.
20:28:28–20:28:33  I review the handwritten calculations.
20:28:33–20:28:37  I say '嗯。'.
20:28:37–20:28:41  I review my handwritten probabilistic derivation.
20:28:42–20:28:44  I position my pen over the notepad.
20:28:45–20:28:53  I write 'E|A'| <=' on the notepad.
20:28:54–20:28:56  I check Problem 2 on the laptop screen.
20:28:57–20:29:01  I write '2^n * ln n / n^3' on the notepad.
20:29:02–20:29:06  I inspect the completed inequality on the notepad.
20:29:07–20:29:15  I review handwritten probability derivations.
20:29:16–20:29:20  I position my pen over the notes.
20:29:21–20:29:25  I reach toward the desk shelf.
20:29:26–20:29:31  I review the derivation steps.
20:29:32–20:29:33  I check the problem statement on MacBook.
20:29:34–20:29:36  I write math steps on paper.
20:29:37–20:29:43  I write math notes on the notebook.
20:29:44–20:29:46  I say '嗯。'.
20:29:47–20:29:56  I review the handwritten formulas on the notebook.
20:29:57–20:30:06  I write notes on the notebook.
20:30:07–20:30:15  I write the mathematical conclusion.
20:30:15–20:30:17  I look up at the homework assignment.
20:30:17–20:30:18  I say '嗯。'
20:30:18–20:30:20  I flip the notepad page.
20:30:20–20:30:27  I read the statement of Problem 3.
20:30:27–20:30:28  I glance at the blank paper.
20:30:28–20:30:37  I read the hint for Problem 3.
20:30:37–20:30:40  I read Problem 3 of MATH6502/7502 Homework Assignment 5.
20:30:40–20:30:42  I observe my roommate.
20:30:42–20:30:43  I say '嗯。'
20:30:43–20:30:51  I inspect the bottom shelf of the rolling utility cart.
20:30:51–20:30:56  I search the bottom basket of the rolling utility cart.
20:30:56–20:30:59  I retrieve a packet of nimm2 Smilegummi.
20:30:59–20:31:03  I tear open the nimm2 Smilegummi packet.
20:31:03–20:31:05  I extract a gummy candy from the packet.
20:31:05–20:31:07  I check the bookshelf and desk.
20:31:07–20:31:09  I hold a packet of nimm2 Smile Gummi candies.
20:31:09–20:31:13  I tear open the nimm2 Smile Gummi packet.
20:31:13–20:31:17  I eat a yellow gummy candy.
20:31:17–20:31:23  I take out a red gummy candy.
20:31:23–20:31:28  I eat a red gummy candy.
20:31:28–20:31:33  I read the document on the laptop screen.
20:31:33–20:31:37  I take out a gummy candy.
20:31:37–20:31:39  I look at the laptop screen.
20:31:40–20:31:47  I look at the laptop dock.
20:31:48–20:31:59  I scan the laptop dock.
20:32:00–20:32:02  I stand up.
20:32:03–20:32:04  I discard the candy wrapper.
20:32:05–20:32:06  I reach for the utility cart shelf.
20:32:07–20:32:12  I search the cart shelf.
20:32:13–20:32:15  I inspect a yellow '大王' packet.
20:32:16–20:32:20  I rummage through the cart.
20:32:21–20:32:27  I retrieve the purple Snoopy canister.
20:32:28–20:32:32  I unlatch the purple Snoopy canister.
20:32:33–20:32:34  I open the canister lid.
20:32:35–20:32:36  I extract a silver tea packet.
20:32:37–20:32:40  I take out a snack packet.
20:32:41–20:32:43  I place the purple Peanuts tin canister on the rolling cart.
20:32:44–20:32:48  I tear open the snack wrapper.
20:32:49–20:32:53  I inspect the pistachio cookie.
20:32:54–20:32:57  I examine the snack wrapper.
20:32:58–20:33:00  I pick up the purple Peanuts tin canister.
20:33:01–20:33:06  I read the tin canister bottom label.
20:33:07–20:33:21  I inspect the Snoopy pistachio biscuit tin.
20:33:21–20:33:23  I set down the biscuit tin.
20:33:23–20:33:25  I open a snack packet.
20:33:25–20:33:26  I place the wrapper on the cart.
20:33:26–20:33:27  I say '嗯'.
20:33:27–20:33:29  I eat the pistachio biscuit.
20:33:29–20:33:37  I read the homework assignment on the MacBook.
20:33:37–20:33:56  I read the homework assignment document.
20:33:57–20:33:58  I reach for a purple snack canister.
20:33:58–20:34:00  I pick up the purple canister.
20:34:00–20:34:03  I take a snack packet from the canister.
20:34:04–20:34:07  I tear open the snack packet.
20:34:07–20:34:08  I place the cookie wrapper on the cart.
20:34:09–20:34:17  I hold up the pistachio cookie.
20:34:18–20:34:21  I look at the figurine display case.
20:34:22–20:34:24  I inspect the pistachio cookie.
20:34:25–20:34:28  I look at the notepad and power strip.
20:34:29–20:34:31  I say '嗯。'
20:34:32–20:34:34  I look at the pistachio cookie.
20:34:35–20:34:36  I read the math assignment on my laptop.
20:34:37–20:34:41  I read the math assignment on my laptop.
20:34:41–20:34:46  I look at my phone on the desk.
20:34:46–20:34:50  I look at the vegetable pancake in my hand.
20:34:50–20:34:52  I look at the blank notepad.
20:34:52–20:34:57  I look at my smartphone on the desk.
20:34:57–20:35:02  I inspect the vegetable pancake in my hand.
20:35:02–20:35:06  I look at the remote control on the desk.
20:35:07–20:35:09  I eat a seed cracker.
20:35:10–20:35:25  I gaze at my smartphone.
20:35:26–20:35:27  I shift my gaze toward my laptop.
20:35:27–20:35:28  I say '嗯。'
20:35:28–20:35:31  I look at the MacBook dock.
20:35:31–20:35:37  I read the MATH6502/7502 homework assignment.
20:35:37–20:35:44  I read Problem 3 of the math homework assignment.
20:35:44–20:35:49  I pick up a black gel pen.
20:35:49–20:36:02  I write the solution on the paper.
20:36:02–20:36:07  I look back at the math problem.
20:36:07–20:36:11  I read problem 3 of MATH6502/7502 Homework Assignment 5.
20:36:12–20:36:15  I write '3.' on the paper.
20:36:16–20:36:31  I read problems 2 and 3 on the laptop screen.
20:36:32–20:36:34  I say '嗯。'.
20:36:35–20:36:36  I read the hint for problem 3.
20:36:37–20:36:53  I read Problem 3 of MATH6502/7502 Homework Assignment 5.
20:36:53–20:36:57  I shift the scratch paper.
20:36:57–20:37:02  I place my hands on the laptop keyboard.
20:37:02–20:37:06  I read the Claude AI explanation on Lovász Local Lemma Theorem 33.
20:37:07–20:37:13  I read the Claude explanation about Lovász Local Lemma hypergraph 2-colorability.
20:37:13–20:37:18  I open a new chat in Claude.
20:37:18–20:37:21  I paste a screenshot into the Claude input box.
20:37:21–20:37:32  I type '画图解释这道题但是不要解题' into Claude.
20:37:32–20:37:34  I submit the prompt in Claude.
20:37:34–20:37:37  I view the submitted Claude prompt.
20:37:37–20:37:40  I wait for Claude to respond.
20:37:40–20:37:43  I inspect the Lisahost-US-4837 node in Clash Verge.
20:37:43–20:37:45  I view 'Thought for 5s' in Claude.
20:37:45–20:37:48  I check '用图示解释题目' in the Claude sidebar.
20:37:48–20:37:54  I monitor the screen while awaiting Claude's response.
20:37:54–20:37:56  I read Claude's response '我来为你画一个直观的图解，帮助理解这道题的设定和目标。'
20:37:56–20:37:57  I say '嗯。'
20:37:57–20:38:00  I view '构思了组合数学问题的可视化图解框架。' in Claude.
20:38:00–20:38:07  I examine the diagram artifact '题目结构图解（以n=8, r=3为例）'.
20:38:07–20:38:11  I monitor Claude generating the base set diagram.
20:38:12–20:38:18  I watch Claude generate hyperedges F1 through F4.
20:38:19–20:38:30  I read the average degree calculation in the diagram.
20:38:31–20:38:34  I say '嗯。'
20:38:35–20:38:36  I read the Claude explanatory text.
20:38:37–20:38:43  Read mathematical notes and proofs on Claude
20:38:44–20:38:53  Read mathematical explanation and formula derivations on Claude
20:38:54–20:39:03  Review proof steps and validation checks
20:39:04–20:39:06  Hold notebook
20:39:07–20:39:37  I read mathematical text about Lovász local lemma and discrete mathematics.
20:39:37–20:39:44  I read the math homework assignment on my laptop.
20:39:45–20:39:55  I look at the blank paper on my lap.
20:39:56–20:39:58  I place the paper on the desk.
20:39:59–20:40:02  I look at the paper on the desk.
20:40:03–20:40:04  I look at the left side of the desk.
20:40:05–20:40:07  I look toward the bed while reaching for the desk.
20:40:07–20:40:10  I lower the cucumber.
20:40:11–20:40:21  I look at the desk.
20:40:22–20:40:24  I glance at the cucumber.
20:40:25–20:40:34  I view the assignment on my MacBook.
20:40:35–20:40:36  I examine the cucumber.
20:40:37–20:40:58  Hold a cut cucumber.
20:40:58–20:41:01  Place the cucumber into the glass cup on the desk.
20:41:01–20:41:07  Look at the blank white paper on the desk.
20:41:07–20:41:20  I look at a document browser and a blank document window.
20:41:21–20:41:27  I pick up a pen.
20:41:28–20:41:37  I write notes on the blank paper with the pen.
20:41:37–20:41:43  I write notes on the paper.
20:41:43–20:41:49  I review the written calculations.
20:41:49–20:41:57  I examine the physics diagram.
20:41:57–20:42:04  I position the pen over the paper.
20:42:04–20:42:07  I glance at the laptop screen.
20:42:07–20:42:10  I write math notes on scratch paper.
20:42:11–20:42:20  I study the handwritten calculations on the paper.
20:42:21–20:42:24  I murmur '嗯。'
20:42:25–20:42:32  I look at the laptop keyboard.
20:42:33–20:42:34  I place the pen on the laptop keyboard.
20:42:35–20:42:37  I look at the math homework document on the laptop screen.
20:42:37–20:42:41  I read the MATH6502/7502 homework assignment PDF.
20:42:41–20:42:45  I look at the pen.
20:42:45–20:42:47  I pick up the pen.
20:42:47–20:43:07  I write notes on the scratch paper.
20:43:07–20:43:11  I glance at the laptop.
20:43:12–20:43:14  I read the homework assignment.
20:43:15–20:43:21  I inspect the notes on the paper.
20:43:22–20:43:23  I say '嗯。'
20:43:24–20:43:26  I inspect the sketch on the paper.
20:43:27–20:43:32  I look at the desk label.
20:43:33–20:43:36  I look at the laptop screen.
20:43:37–20:43:40  I look at the PDF document.
20:43:40–20:43:47  I look at the top edge of the notepad paper.
20:43:48–20:43:50  I look at the keyboard and desk edge.
20:43:50–20:43:52  I say '嗯。'
20:43:52–20:43:54  I examine the sketches on the paper.
20:43:54–20:43:57  I glance at the keyboard bottom edge.
20:43:58–20:44:06  I look at the bottles on the right side of the desk.
20:44:07–20:44:12  Look at the handwritten math notes on the white scratch paper next to my laptop keyboard.
20:44:13–20:44:15  Say '嗯。'.
20:44:15–20:44:17  Look down towards my lap and arms.
20:44:17–20:44:23  Look toward the edge between my laptop trackpad and the scratch paper.
20:44:23–20:44:37  Review the handwritten geometric diagrams and math calculations on the scratch paper.
20:44:37–20:44:44  I examine handwritten diagrams on the paper pad.
20:44:44–20:45:04  I study the sketched diagrams and equations.
20:45:05–20:45:07  I grip the pen to write on the paper.
20:45:07–20:45:12  I sketch a diagram.
20:45:13–20:45:19  I pause to think.
20:45:20–20:45:21  I say '嗯。'
20:45:22–20:45:23  I look at the desk.
20:45:24–20:45:34  I draw annotations.
20:45:35–20:45:36  I look down.
20:45:37–20:45:41  I look at the scratch paper.
20:45:41–20:45:43  I bring a pen toward the paper.
20:45:43–20:45:48  I sketch a diagram.
20:45:48–20:45:54  I sketch diagram lines.
20:45:54–20:46:04  I draw a bottom border line.
20:46:04–20:46:07  I inspect the sketch.
20:46:07–20:46:12  I draw diagrams on paper.
20:46:12–20:46:18  I look at my roommate and the bookshelf.
20:46:18–20:46:28  I watch my roommate climb onto the window ledge.
20:46:28–20:46:33  I reach into the rolling cart.
20:46:33–20:46:36  I watch my roommate adjusting clothes.
20:46:37–20:46:43  Roommate asks '我这完全我自己不会吃，就是你这个老鼠，下次消耗了能还丢掉不？消耗完了能丢掉不老鼠？'.
20:46:43–20:46:47  Roommate says '你可以把你那眼镜摘了吗？为安全感。哎呀妈！'.
20:46:47–20:46:52  I watch my roommate throw trash.
20:46:53–20:46:58  I pull the chair.
20:46:58–20:47:03  Roommate asks '你做作业应该不用讲话吧？'.
20:47:03–20:47:06  I say '哦，但是他得记录我写作业的过程。'.
20:47:07–20:47:09  I say '啊？为什么？' to my roommate.
20:47:09–20:47:12  Roommate says '因为它有价值。'.
20:47:12–20:47:14  I say 'Fine.'.
20:47:14–20:47:17  I watch roommate walk away.
20:47:17–20:47:20  I look at my laptop and paper.
20:47:20–20:47:33  I sit at my desk holding tissue.
20:47:34–20:47:37  I pick up the pen.
20:47:37–20:47:41  I hold a pen over scratch paper.
20:47:42–20:47:45  I write notes on scratch paper.
20:47:46–20:48:00  I review notes on scratch paper.
20:48:01–20:48:04  I look at a medicine box.
20:48:05–20:48:06  I look back at scratch paper.
20:48:07–20:48:13  I look at the keyboard and paper.
20:48:14–20:48:16  I pick up a pen.
20:48:16–20:48:19  I rest my hands in my lap.
20:48:20–20:48:27  I say '又臭又长的味儿，都死。' to my roommate.
20:48:28–20:48:36  I look at the desk items.
20:48:37–20:48:40  I pick up my phone and power bank.
20:48:40–20:48:44  The roommate asks '刚才谁说要留香港？什么？谁说要留香港？谁说留香港？啊？谁？'.
20:48:44–20:48:47  The roommate asks '谁呀？问你呢？'.
20:48:47–20:48:52  I say '什么？哦，我刚出去，我问User X，他说要去美国。'.
20:48:52–20:48:56  I enter my passcode.
20:48:56–20:49:01  The roommate says '哦。他那个项目一年半，就是有半年在美国。'.
20:49:01–20:49:04  I ask '啥项目？' and roommate answers '就他的那个专业。'.
20:49:04–20:49:07  I ask '当中文？' roommate replies '嗯。' and I ask '啥专业？'.
20:49:07–20:49:10  I say '我操，这么牛逼！还有这么牛逼的事情！'.
20:49:11–20:49:14  I say '我操！我操！'.
20:49:15–20:49:20  I open the power bank flap.
20:49:21–20:49:28  I inspect the power bank display.
20:49:29–20:49:36  I adjust the power bank kickstand.
20:49:37–20:49:39  I watch a short video.
20:49:39–20:49:41  I reach for a candle.
20:49:41–20:49:43  I lift a candle.
20:49:43–20:49:46  I say '我操我操，好厉害啊！'
20:49:46–20:50:02  I press the candle wax.
20:50:02–20:50:05  I say '我操我操，但他不卫生。'
20:50:05–20:50:06  I inspect the candle base.
20:50:07–20:50:11  I inspect the IKEA candle label.
20:50:12–20:50:18  I inspect the candle wax surface.
20:50:19–20:50:21  I place the yellow candle on the desk.
20:50:22–20:50:24  I read the laptop screen.
20:50:25–20:50:29  I say '然后。'
20:50:30–20:50:36  I look at the laptop screen.
20:50:37–20:50:38  I look toward my desk.
20:50:38–20:50:53  I read the handwritten notes.
20:50:54–20:50:55  I pick up a pen.
20:50:55–20:51:06  I write on the paper.
20:51:07–20:51:12  Someone says '四块多一条。'.
20:51:13–20:51:18  I ask '穿L还是XL？'.
20:51:19–20:51:25  Someone says '你应该穿L就行了。'.
20:51:26–20:51:36  I review the notes on the paper.
20:51:37–20:51:39  I say '嗯，上次买的啥？叉L吧，越大越好。'
20:51:40–20:51:43  I say '叉L吧。哦，直接拼图哦。'
20:51:44–20:51:50  I say '他不买吧，应该。他只是嘴上说一说而已。'
20:51:51–20:51:56  I say '对，算了算了。'
20:51:57–20:52:06  I say '你要吃，我给你买。' while reaching for my phone.
20:52:07–20:52:08  I sit at my desk.
20:52:08–20:52:18  My roommate says '你也不用操心，我还买了四颗呢，豆沙的，老香了。'
20:52:19–20:52:21  I look back at my desk.
20:52:21–20:52:31  I write notes on the paper.
20:52:32–20:52:36  I review my notes.
20:52:37–20:52:51  I write '= np - nd/r * p^r' on paper.
20:52:52–20:52:56  Roommate says '太好了，这次也买叉叉，这次买叉叉L吧。啊，试一下喽，买个叉叉L。'.
20:52:57–20:53:06  I review the math derivation.
20:53:07–20:53:08  I write an expectation formula.
20:53:09–20:53:10  I say '修炼'.
20:53:11–20:53:19  I inspect the formulas on my notepad.
20:53:20–20:53:28  I read the homework assignment PDF.
20:53:29–20:53:36  I review the notepad notes.
20:53:37–20:53:40  I read the homework assignment PDF.
20:53:41–20:53:48  I examine the handwritten notes.
20:53:49–20:53:58  I write math equations on paper.
20:53:59–20:54:02  I say '哎，不对。我操！'
20:54:03–20:54:06  I inspect the formula.
20:54:07–20:54:14  I write math equations on a notepad.
20:54:15–20:54:20  I review the derivation on the notepad.
20:54:21–20:54:27  I contemplate the calculation steps.
20:54:28–20:54:35  I check the laptop screen and notepad.
20:54:36–20:54:37  I prepare to write on the notepad.
20:54:37–20:54:47  I write math derivations.
20:54:47–20:54:50  Someone nearby asks '你当时有说吗？'.
20:54:50–20:54:58  I write `p = d^{1/(1-r)}`.
20:54:58–20:55:05  I box the solution `p = d^{1/(1-r)}`.
20:55:05–20:55:07  I look at the assignment PDF.
20:55:07–20:55:13  I review math notes.
20:55:14–20:55:18  I say '不知道单招还是单机。'
20:55:19–20:55:28  I touch my face.
20:55:29–20:55:36  I examine math notes.
20:55:37–20:55:48  I write mathematical equations on scratch paper.
20:55:48–20:55:52  I review the handwritten equations.
20:55:52–20:56:06  I write further formula steps on scratch paper.
20:56:07–20:56:11  I write math derivations.
20:56:11–20:56:17  I say '一、二、三、四、五、六、七、八、九、十。'
20:56:17–20:56:22  I read the homework assignment.
20:56:22–20:56:31  I review the handwritten substitution.
20:56:31–20:56:37  I write '= n'.
20:56:37–20:56:50  I write algebra on scratch paper.
20:56:51–20:56:53  I say '哦，我的妈！'.
20:56:54–20:57:00  I review the derivation on paper.
20:57:01–20:57:06  I verify Problem 3 on the laptop screen.
20:57:07–20:57:12  I read the math assignment and handwritten notes on the desk.
20:57:13–20:57:19  I look at my handwritten math notes and equations on the paper.
20:57:20–20:57:25  I review the calculations on the paper.
20:57:26–20:57:37  I gaze at the final lines of algebraic derivation on the handwritten sheet.
20:57:37–20:57:39  I say '哦，shit！历史。'
20:57:39–20:57:51  I read the derivative calculations.
20:57:52–20:57:54  I look toward the laptop keyboard.
20:57:54–20:58:06  I examine the expectation formula f(p*).
20:58:07–20:58:11  I examine the mathematical derivations on my scratch paper.
20:58:11–20:58:16  I say '二三四五六七八。'
20:58:16–20:58:24  I write a formula on the scratch paper.
20:58:24–20:58:30  I cross out a formula term on the paper.
20:58:30–20:58:36  I write '= n d^(-1/(r-1)) (1 - 1/r)' on the scratch paper.
20:58:37–20:58:46  Write mathematical equations on a piece of paper
20:58:47–20:58:53  Write mathematical steps on the paper
20:58:54–20:59:06  Read the problem text on the laptop screen
20:59:07–20:59:07  Review math homework on paper.
20:59:08–20:59:13  Lift the paper off the desk.
20:59:14–20:59:19  Look around the room toward the bed and shelving area.
20:59:20–20:59:22  Write on the paper.
20:59:23–20:59:23  Pause writing.
20:59:24–20:59:29  Look at the laptop screen and desk.
20:59:30–20:59:37  Speak excitedly.
20:59:37–20:59:39  I look at the math homework on my laptop.
20:59:40–20:59:44  I say '牛模的'.
20:59:45–20:59:49  I say '到底给不给我袋鼠蛋？'.
20:59:50–20:59:53  I say '什么意思？回收？什么意思？'.
20:59:54–21:00:00  I say '我要袋鼠蛋蛋。'.
21:00:01–21:00:04  I say '估计给别人了。'.
21:00:05–21:00:07  I say '他干了，他。'.
21:00:07–21:00:10  My friend says '你问问恒哥在哪儿呢？'.
21:00:10–21:00:13  I say '他没在香港吗？'.
21:00:13–21:00:17  My friend says '我不知道。'.
21:00:17–21:00:21  I say '你没跟他健身吗？最近。'.
21:00:21–21:00:24  My friend says '没见啊。'.
21:00:24–21:00:32  My friend says '抖音问他，抖音问他。怕他微信惹出是非。'.
21:00:32–21:00:36  I say '啥意思？为什么？'.
21:00:37–21:00:42  I listen to my roommate.
21:00:42–21:00:48  I listen to my roommate.
21:00:48–21:00:52  I look at my laptop.
21:00:52–21:00:56  I pick up a cucumber.
21:00:56–21:01:01  I eat a cucumber.
21:01:01–21:01:06  I say '你说在香港没？跟徐哥健身了吗？'
21:01:07–21:01:17  I read the homework assignment PDF.
21:01:18–21:01:23  I position the pen on the paper.
21:01:24–21:01:36  I write math notes on the paper.
21:01:37–21:01:38  I look at the paper.
21:01:38–21:01:40  I look at the dock.
21:01:40–21:01:50  I write mathematical notes.
21:01:50–21:01:52  I say '是吧？'
21:01:52–21:02:00  I write derivations.
21:02:00–21:02:06  I sketch a diagram.
21:02:07–21:02:14  I write notes on paper.
21:02:14–21:02:16  I say '所以。'
21:02:16–21:02:21  I write an equation on paper.
21:02:22–21:02:24  I read the assignment on screen.
21:02:25–21:02:36  I write reasoning steps on paper.
21:02:37–21:02:53  I write notes and diagrams on a sheet of paper.
21:02:54–21:02:56  I glance at the math homework assignment.
21:02:57–21:03:06  I write notes on the paper notepad.
21:03:07–21:03:24  I write math notes on paper.
21:03:25–21:03:26  I read the laptop screen.
21:03:27–21:03:34  I write 'legal choice' on paper.
21:03:35–21:03:36  I pause and look at the laptop.
21:03:37–21:03:54  Write math notes in a paper notebook
21:03:55–21:03:58  Read the assignment text
21:03:59–21:04:06  Write equations in a notebook
21:04:07–21:04:11  I write math notes on paper.
21:04:11–21:04:20  I review the handwritten math derivation.
21:04:20–21:04:36  I continue writing notes.
21:04:37–21:04:43  I write math derivations on paper.
21:04:44–21:04:48  I read problem hints on laptop screen.
21:04:49–21:05:03  I write probability equations on paper.
21:05:04–21:05:06  I review derivation steps on paper.
21:05:07–21:05:14  I write math formulas.
21:05:15–21:05:21  I review the handwritten notes.
21:05:22–21:05:30  I inspect the math derivation.
21:05:31–21:05:35  I position the pen over the paper.
21:05:36–21:05:36  I lower my hands.
21:05:37–21:05:40  I review my handwritten math notes.
21:05:41–21:06:06  I write 'E[S] = np - nd/r * p^r' on the notes.
21:06:07–21:06:08  I say '嗯。'
